open,high,low,close,volume,time,oi,time_str
40.05,40.05,23.65,28.7,47300,2024-08-07 09:15:00,835450,2024-08-07T09:15:00+05:30
20.3,22.05,19.4,19.4,52325,2024-08-07 09:15:05,835450,2024-08-07T09:15:05+05:30
18.45,18.45,16.5,18.45,42250,2024-08-07 09:15:10,835450,2024-08-07T09:15:10+05:30
18.85,18.85,17.55,18.05,30375,2024-08-07 09:15:15,835450,2024-08-07T09:15:15+05:30
18.3,18.3,17.9,18.1,22350,2024-08-07 09:15:20,835450,2024-08-07T09:15:20+05:30
17.55,18.05,17.55,17.85,43150,2024-08-07 09:15:25,835450,2024-08-07T09:15:25+05:30
17.95,18.3,17.95,18.3,37475,2024-08-07 09:15:30,835450,2024-08-07T09:15:30+05:30
18.8,18.8,18.3,18.8,46900,2024-08-07 09:15:35,835450,2024-08-07T09:15:35+05:30
19.3,19.75,19.3,19.75,27225,2024-08-07 09:15:40,835450,2024-08-07T09:15:40+05:30
20.2,22.85,20.2,22.85,22225,2024-08-07 09:15:45,835450,2024-08-07T09:15:45+05:30
22.4,23.0,22.25,23.0,34850,2024-08-07 09:15:50,835450,2024-08-07T09:15:50+05:30
23.05,24.75,23.05,24.4,22575,2024-08-07 09:15:55,805400,2024-08-07T09:15:55+05:30
24.35,24.35,23.1,23.7,18300,2024-08-07 09:16:00,805400,2024-08-07T09:16:00+05:30
23.55,23.9,23.55,23.75,22275,2024-08-07 09:16:05,805400,2024-08-07T09:16:05+05:30
24.3,24.85,24.3,24.85,28100,2024-08-07 09:16:10,805400,2024-08-07T09:16:10+05:30
25.15,25.2,24.9,25.2,12525,2024-08-07 09:16:15,805400,2024-08-07T09:16:15+05:30
25.45,26.1,25.45,26.1,14350,2024-08-07 09:16:20,805400,2024-08-07T09:16:20+05:30
26.2,26.2,25.8,25.9,14075,2024-08-07 09:16:25,805400,2024-08-07T09:16:25+05:30
25.85,25.9,25.6,25.9,10675,2024-08-07 09:16:30,805400,2024-08-07T09:16:30+05:30
25.8,25.8,25.6,25.6,11800,2024-08-07 09:16:35,805400,2024-08-07T09:16:35+05:30
25.2,25.2,24.95,24.95,23850,2024-08-07 09:16:40,805400,2024-08-07T09:16:40+05:30
25.0,25.0,24.85,24.95,8025,2024-08-07 09:16:45,805400,2024-08-07T09:16:45+05:30
25.2,25.4,25.2,25.4,16925,2024-08-07 09:16:50,805400,2024-08-07T09:16:50+05:30
25.3,25.3,25.1,25.2,11975,2024-08-07 09:16:55,805400,2024-08-07T09:16:55+05:30
25.0,25.0,24.7,24.8,22100,2024-08-07 09:17:00,805400,2024-08-07T09:17:00+05:30
24.55,24.55,24.05,24.05,10000,2024-08-07 09:17:05,805400,2024-08-07T09:17:05+05:30
24.25,24.25,23.8,24.0,23525,2024-08-07 09:17:10,805400,2024-08-07T09:17:10+05:30
23.85,23.85,23.0,23.25,7200,2024-08-07 09:17:15,805400,2024-08-07T09:17:15+05:30
22.75,23.0,22.75,22.95,12850,2024-08-07 09:17:20,805400,2024-08-07T09:17:20+05:30
22.95,23.45,22.95,23.45,19350,2024-08-07 09:17:25,805400,2024-08-07T09:17:25+05:30
23.3,23.35,22.95,22.95,9400,2024-08-07 09:17:30,805400,2024-08-07T09:17:30+05:30
23.4,23.8,23.3,23.3,16275,2024-08-07 09:17:35,805400,2024-08-07T09:17:35+05:30
23.25,23.25,23.05,23.1,5150,2024-08-07 09:17:40,805400,2024-08-07T09:17:40+05:30
23.15,23.4,23.15,23.2,9425,2024-08-07 09:17:45,805400,2024-08-07T09:17:45+05:30
23.15,23.15,23.05,23.15,11675,2024-08-07 09:17:50,805400,2024-08-07T09:17:50+05:30
23.05,23.05,22.75,22.75,21425,2024-08-07 09:17:55,805400,2024-08-07T09:17:55+05:30
22.9,22.9,21.95,21.95,20575,2024-08-07 09:18:00,805400,2024-08-07T09:18:00+05:30
